RUN,NB.bcl,Read.Length,NB.sample
/data/transfert/Illumina/LHASSA_MISEQ/LHASSA_CDR/170502_M04391_0172_000000000-B5LL8/,12160,151,16
/data/transfert/Illumina/LHASSA_MISEQ/LHASSA_CDR/170502_M04391_0172_000000000-B5LL8_UMI/,12160,,0
/data/transfert/Illumina/LHASSA_MISEQ/LHASSA_CDR/231003_M04391_0488_000000000-KYY3T/,5738,151,1
/data/transfert/Illumina/LHASSA_MISEQ/LHASSA_CDR/231004_M04391_0489_000000000-KYPF5/,6580,28,4
/data/transfert/Illumina/LHASSA_MISEQ/LHASSA_CDR/231005_M04391_0490_000000000-DM867/,636,151,96
/data/transfert/Illumina/LHASSA_MISEQ/LHASSA_CDR/231009_M04391_0491_000000000-DM7CJ/,616,151,23
/data/transfert/Illumina/LHASSA_MISEQ/LHASSA_CDR/231011_M04391_0492_000000000-DM8H3/,612,149,2
/data/transfert/Illumina/LHASSA_MISEQ/LHASSA_CDR/231018_M04391_0493_000000000-DMK6B/,636,151,96
/data/transfert/Illumina/LHASSA_MISEQ/LHASSA_CDR/231027_M04391_0494_000000000-L7TJV/,5738,151,1
/data/transfert/Illumina/LHASSA_MISEQ/LHASSA_CDR/231102_M04391_0495_000000000-L4BFK/,6536,76,19
/data/transfert/Illumina/LHASSA_MISEQ/LHASSA_CDR/231124_M04391_0496_000000000-L4B5W/,12084,151,3
/data/transfert/Illumina/LHASSA_MISEQ/LHASSA_CDR/231129_M04391_0497_000000000-DMRF5/,444,101,32
/data/transfert/Illumina/LHASSA_MISEQ/LHASSA_CDR/231207_M04391_0498_000000000-GGW8Y/,2464,151,8
/data/transfert/Illumina/LHASSA_MISEQ/LHASSA_CDR/231214_M04391_0499_000000000-L9FDT/,23484,301,18
/data/transfert/Illumina/LHASSA_MISEQ/LHASSA_CDR/231229_M04391_0500_000000000-LCNBT/,23104,301,48
/data/transfert/Illumina/LHASSA_MISEQ/LHASSA_CDR/240102_M04391_0501_000000000-LCL9H/,8892,28,2
/data/transfert/Illumina/LHASSA_MISEQ/LHASSA_CDR/240119_M04391_0503_000000000-LCP2T/,23484,301,18
/data/transfert/Illumina/LHASSA_MISEQ/LHASSA_CDR/240201_M04391_0504_000000000-LCWYL/,23484,301,3
/data/transfert/Illumina/LHASSA_MISEQ/LHASSA_CDR/240207_M04391_0505_000000000-DMKM5/,636,151,20
/data/transfert/Illumina/LHASSA_MISEQ/LHASSA_CDR/240209_M04391_0506_000000000-LCTWL/,6460,75,384
/data/transfert/Illumina/LHASSA_MISEQ/LHASSA_CDR/240212_M04391_0507_000000000-LDHBB/,6460,75,384
/data/transfert/Illumina/LHASSA_MISEQ/LHASSA_CDR/240216_M04391_0508_000000000-DMKMC/,444,101,6
/data/transfert/Illumina/LHASSA_MISEQ/LHASSA_CDR/240219_M04391_0509_000000000-LCPWP/,6460,75,12
/data/transfert/Illumina/LHASSA_MISEQ/LHASSA_CDR/240307_M04391_0511_000000000-DMKLV/,436,101,20
/data/transfert/Illumina/LHASSA_MISEQ/LHASSA_CDR/240320_M04391_0513_000000000-L35W2/,2016,66,14
/data/transfert/Illumina/LHASSA_MISEQ/LHASSA_CDR/240321_M04391_0514_000000000-LFYCD/,2736,66,14
/data/transfert/Illumina/LHASSA_MISEQ/LHASSA_CDR/240329_M04391_0515_000000000-DNRR2/,180,56,10
/data/transfert/Illumina/LHASSA_MISEQ/LHASSA_CDR/240405_M04391_0516_000000000-LG9FC/,17556,231,1
/data/transfert/Illumina/LHASSA_MISEQ/LHASSA_CDR/240408_M04391_0517_000000000-L35VR/,896,26,5
/data/transfert/Illumina/LHASSA_MISEQ/LHASSA_CDR/240416_M04391_0518_000000000-LH263/,2242,51,18
/data/transfert/Illumina/LHASSA_MISEQ/LHASSA_CDR/240418_M04391_0519_000000000-LGRLC/,23180,301,3
/data/transfert/Illumina/LHASSA_MISEQ/LHASSA_CDR/240423_M04391_0520_000000000-LHMKH/,896,26,6
/data/transfert/Illumina/LHASSA_MISEQ/LHASSA_CDR/240424_M04391_0521_000000000-DNRHL/,444,101,12
/data/transfert/Illumina/LHASSA_MISEQ/LHASSA_CDR/240429_M04391_0522_000000000-LGTGY/,6536,76,384
/data/transfert/Illumina/LHASSA_MISEQ/LHASSA_CDR/240430_M04391_0523_000000000-LJYPC/,6536,76,384
/data/transfert/Illumina/LHASSA_MISEQ/LHASSA_CDR/240502_M04391_0524_000000000-DNNNH/,444,101,20
/data/transfert/Illumina/LHASSA_MISEQ/LHASSA_CDR/240506_M04391_0525_000000000-DP2HC/,118,51,2
/data/transfert/Illumina/LHASSA_MISEQ/LHASSA_CDR/240523_M04391_0526_000000000-LHMKT/,5936,31,12
/data/transfert/Illumina/LHASSA_MISEQ/LHASSA_CDR/240529_M04391_0527_000000000-LKRW9/,6536,76,384
/data/transfert/Illumina/LHASSA_MISEQ/LHASSA_CDR/240530_M04391_0528_000000000-LKTTJ/,6536,76,384
/data/transfert/Illumina/LHASSA_MISEQ/LHASSA_CDR/240531_M04391_0529_000000000-LK2KR/,6536,76,384
/data/transfert/Illumina/LHASSA_MISEQ/LHASSA_CDR/240603_M04391_0530_000000000-GJB56/,1360,75,96
/data/transfert/Illumina/LHASSA_MISEQ/LHASSA_CDR/240607_M04391_0531_000000000-GJ9T4/,2544,151,87
/data/transfert/Illumina/LHASSA_MISEQ/LHASSA_CDR/SampleSheet/,0,101,20
