run,Nb.bcl,Read.length,NB.sample
240125_VH01545_2_AAFG5NCM5,444,101,8
240311_VH01545_3_AAFGNM5M5,444,101,8
240313_VH01545_4_AAFHMJCM5,264,50,8
240314_VH01545_5_AAFHMLLM5,276,64,20
240315_VH01545_6_AAFHMMYM5,436,101,8
240321_VH01545_7_AAFKTTCM5,636,151,5
240326_VH01545_8_AAFLHJJM5,644,151,5
240329_VH01545_9_AAFHMJFM5,444,101,8
240409_VH01545_10_AAFJYJMM5,636,151,2
240417_VH01545_11_AAFJYHYM5,168,76,8
240424_VH01545_12_AAFLHCGM5,276,64,8
240503_VH01545_13_AAFMVLMM5,250,101,9
240515_VH01545_14_AAFMT5YM5,640,150,3
240517_VH01545_15_AAFMFCYM5,450,150,1
240523_VH01545_16_AAFKYF3M5,196,50,4
240524_VH01545_17_AAFT5VMM5,636,151,12
240528_VH01545_18_AAFNC5MM5,276,41,24
240529_VH01545_19_AACJM3GHV,236,51,24
